bbl,numfloors,lotarea,bldgarea,yearbuilt,bldgclass,zonedist1,far,is_office,is_prewar,is_postwar_ideal,is_modern,outcome,notes
1000050010,32.0,54023.0,1044351.0,1969.0,D5,C5-5,19.33,0,0,1,0,1,25 Water St - SoMA 1300 units
1000250001,30.0,23132.0,406025.0,1968.0,O4,C5-5,17.55,1,0,1,0,1,55 Broad St - 571 rental units
1000700043,30.0,24092.0,525000.0,1972.0,D5,C5-5,21.79,0,0,1,0,1,160 Water St - 580 units
1000700032,29.0,23555.0,487950.0,1971.0,D6,C5-5,20.72,0,0,1,0,1,180 Water St - 573 units
1000237501,52.0,42178.0,872851.0,1930.0,RM,C5-5,20.69,0,1,0,0,1,1 Wall St - 566 condos
1000417504,66.0,31722.0,975719.0,1932.0,RM,C5-5,30.76,0,1,0,0,1,70 Pine St - 644 rentals
1000907503,46.0,20080.0,276599.0,1883.0,RM,C5-5,13.77,0,0,0,0,1,5 Beekman St - hotel + condos
1001237501,60.5,29411.0,880371.0,1913.0,RM,C5-3,29.93,0,1,0,0,1,Woolworth - upper floor condos
1000230050,30.0,19975.0,466820.0,1956.0,D9,C5-5,23.37,0,0,1,0,1,20 Broad St - 533 rentals
1001537501,15.0,18919.0,209951.0,1910.0,RM,C6-4,11.1,0,1,0,0,1,49 Chambers - rental conversion
1000690032,35.0,11550.0,338463.0,1931.0,D7,C5-5,29.3,0,1,0,0,1,116 John St - residential
1000790010,15.0,10060.0,111423.0,1920.0,HS,C5-5,11.08,0,1,0,0,1,17 John St - residential
1000267501,42.0,39846.0,810798.0,1913.0,RM,C5-5,20.35,0,1,0,0,1,15 Broad St - rental 2022
1000420022,45.0,18892.0,431000.0,2002.0,D8,C5-5,22.81,0,0,0,1,1,10 Liberty St - residential
1008230024,12.0,10377.0,113284.0,1908.0,O6,C6-4A,10.92,1,1,0,0,1,21 West St - residential
1000330001,26.0,25779.0,541568.0,1969.0,O4,C6-9,21.01,1,0,1,0,1,77 Water St - conversion
1008267501,24.0,22471.0,282140.0,1915.0,RM,C5-2,12.56,0,1,0,0,1,Toy Center to condos
1000270009,37.0,17623.0,400531.0,1929.0,D5,C5-5,22.73,0,1,0,0,1,63 Wall St - residential
1000317501,36.0,30794.0,542494.0,1987.0,RM,C5-5,17.62,0,0,0,0,1,75 Wall St - residential
1000697502,29.0,14851.0,344914.0,1931.0,RR,C5-5,23.22,0,1,0,0,1,90 John St - residential
1000420001,24.0,17684.0,290116.0,1930.0,D6,C5-5,16.41,0,1,0,0,1,100 Maiden Lane - residential
1001007502,76.0,41370.0,900766.0,2007.0,RM,C6-4,21.77,0,0,0,1,1,8 Spruce St - Gehry tower
1000270017,25.0,12127.0,305271.0,1921.0,D5,C5-5,25.17,0,1,0,0,1,67 Wall St - rental conversion
1000390012,38.0,48946.0,1104184.0,1961.0,O4,,22.56,1,0,1,0,1,110 Maiden Lane - residential
1000430001,24.0,14213.0,289049.0,1927.0,O4,C5-5,20.34,1,1,0,0,1,44 Wall St - rental conversion
1000400014,32.0,12175.0,281755.0,1929.0,O4,C5-5,23.14,1,1,0,0,1,48 Wall St - rental conversion
1000210006,23.0,13967.0,303086.0,1898.0,D5,C5-5,21.7,0,0,0,0,1,71 Broadway - rental conversion
1000690018,51.0,24128.0,627300.0,2003.0,D8,C5-5,26.0,0,0,0,1,1,2 Gold St - rental conversion
1000767502,25.0,29668.0,388570.0,2003.0,RM,C6-4,13.1,0,0,0,1,1,99 John St - rental conversion
1000187501,38.0,24470.0,366023.0,1956.0,RM,C6-9,14.96,0,0,1,0,1,88 Greenwich - rental conversion
1000707501,16.0,20329.0,255763.0,1958.0,RC,C5-5,12.58,0,0,1,0,1,125 Maiden Lane - residential
1000670001,44.0,59391.0,1073000.0,1965.0,O4,C5-5,18.07,1,0,1,0,1,59 Maiden Lane - residential
1000770001,14.0,12180.0,160000.0,1926.0,D7,C6-4,13.14,0,1,0,0,1,85 John St - residential
1000257501,44.0,23649.0,374614.0,2005.0,RM,C5-5,15.84,0,0,0,1,1,15 William St - residential
1000687501,26.0,10237.0,149564.0,1927.0,RM,C5-5,14.61,0,1,0,0,1,80 John St - residential
1000797502,12.5,6065.0,56789.0,1900.0,RM,C5-5,9.36,0,0,0,0,1,87 Nassau St - residential
1000650016,12.0,1288.0,15081.0,1900.0,O6,C5-5,11.71,1,0,0,0,1,1 Maiden Lane - residential
1000777501,61.0,17384.0,332498.0,2017.0,RM,C6-4,19.13,0,0,0,1,1,130 William St - residential
1000330011,22.0,22957.0,473460.0,1969.0,D5,C6-9,20.62,0,0,1,0,1,95 Wall St - residential
1000200001,31.0,14490.0,316150.0,1925.0,O4,C5-5,21.82,1,1,0,0,1,29 Broadway - residential
1012657501,70.0,107766.0,2122138.0,1937.0,RC,C5-2.5,19.69,0,1,0,0,1,50 West St - residential tower
1000780047,49.0,8320.0,440553.0,2016.0,D8,C6-4,52.95,0,0,0,1,1,19 Dutch St - residential
1000260021,27.0,20249.0,493187.0,1958.0,D9,C5-5,24.36,0,0,1,0,1,45 Wall St - residential
1000500001,21.0,16620.0,396607.0,1907.0,O4,C5-5,23.86,1,1,0,0,1,115 Broadway - residential
1000460009,32.0,32947.0,839749.0,1912.0,O4,C5-5,25.49,1,1,0,0,1,14 Wall St - residential
1000370001,33.0,23475.0,582412.0,1929.0,O4,C6-9,24.81,1,1,0,0,1,120 Wall St - residential
1000750030,26.0,31876.0,296076.0,1929.0,O4,C6-4,9.29,1,1,0,0,1,111 John St - residential
3020490002,42.0,42942.0,629064.0,2011.0,D7,C6-4,14.65,0,0,0,1,1,343 Gold St - office to res
3021117501,41.0,20263.0,273186.0,1929.0,RM,C6-6,13.48,0,1,0,0,1,1 Hanson Pl - Williamsburg Bank
1000327501,53.0,160692.0,3583167.0,1973.0,RB,C6-9,22.3,0,0,1,0,0,55 Water St - largest floor plates
1010030029,47.0,82340.0,1962900.0,1961.0,O4,C6-6.5,23.84,1,0,1,0,0,Time-Life Building
1012660001,31.0,184764.0,2734038.0,1932.0,O4,C5-2.5,14.8,1,1,0,0,0,1270 6th Ave
1000800001,29.0,36775.0,1094861.0,1916.0,O4,C5-5,29.77,1,1,0,0,0,195 Broadway - AT&T
1002160001,39.0,172327.0,2354289.0,1989.0,O4,C6-4,13.66,1,0,0,0,0,Citigroup campus
1009990029,42.0,42049.0,1047390.0,1970.0,O4,C6-6,24.91,1,0,1,0,0,1185 6th Ave
1000160140,54.0,82617.0,2233692.0,1986.0,O4,BPC,27.04,1,0,0,0,0,Brookfield Place
1000160125,44.0,199346.0,2267925.0,1987.0,O4,BPC,11.38,1,0,0,0,0,Brookfield Place
1000160150,34.0,103028.0,2084079.0,1986.0,O4,BPC,20.23,1,0,0,0,0,Brookfield Place
1012670001,43.0,89775.0,1899211.0,1963.0,O4,C5-2.5,21.16,1,0,1,0,0,1290 6th Ave
1010070029,49.0,90375.0,1931978.0,1968.0,O9,C6-6.5,21.38,1,0,1,0,0,1345 6th Ave
1010050029,46.0,74631.0,1482208.0,1965.0,O4,C5-3,19.86,1,0,1,0,0,1301 6th Ave
1010000029,45.0,84855.0,1984228.0,1973.0,O4,C6-5.5,23.38,1,0,1,0,0,1211 6th Ave
1005990064,18.0,69096.0,1076164.0,1987.0,O6,M1-6,15.57,1,0,0,0,0,375 Hudson St
1009960029,44.0,42050.0,1039529.0,1968.0,O4,C6-6,24.72,1,0,1,0,0,1133 6th Ave
1008150001,42.0,50765.0,1088074.0,1969.0,O4,C5-3,21.43,1,0,1,0,0,1411 Broadway
1010137501,40.0,37854.0,789726.0,2007.0,RC,C6-7,20.86,0,0,0,1,0,11 Times Square
1012950001,46.0,52831.0,1088389.0,1982.0,O4,C5-2.5,20.6,1,0,0,0,0,101 Park Ave
1000840036,52.0,47250.0,1636000.0,2006.0,O4,C6-4,34.62,1,0,0,1,0,7 WTC
1009950005,51.0,45800.0,1642675.0,1998.0,O4,C6-7,35.87,1,0,0,0,0,Conde Nast building
1010160036,54.0,65764.0,1721814.0,1970.0,O4,C6-7T,26.18,1,0,1,0,0,1515 Broadway - Viacom
1010197502,42.0,50657.0,1028336.0,1987.0,RC,C6-7T,20.3,0,0,0,0,0,Morgan Stanley
1010220043,48.0,90400.0,2438059.0,1972.0,O4,C6-7,26.97,1,0,1,0,0,Paramount Plaza
1010240015,35.0,23900.0,762619.0,1987.0,O4,C6-7,31.91,1,0,0,0,0,1675 Broadway
1010010029,51.0,102452.0,2636182.0,1971.0,O4,C6-5.5,25.73,1,0,1,0,0,McGraw-Hill
1010027501,54.0,98206.0,1793091.0,1970.0,RC,C6-5.5,18.26,0,0,1,0,0,Exxon Building
1013027501,50.0,162672.0,1270270.0,1963.0,RC,C5-3,7.81,0,0,1,0,0,277 Park Ave
1013030001,42.0,40166.0,1039281.0,1966.0,O4,C5-3,25.87,1,0,1,0,0,299 Park Ave
1013010001,45.0,81336.0,1586876.0,1966.0,O4,C5-3,19.51,1,0,1,0,0,245 Park Ave
1012617501,44.0,59873.0,1204839.0,1975.0,RC,C6-4.5,20.12,0,0,1,0,0,1166 6th Ave
1012580009,47.0,67875.0,1517497.0,1971.0,O4,C6-6,22.36,1,0,1,0,0,Grace Building
1009947501,41.0,56781.0,1041794.0,1972.0,RI,C6-6,18.35,0,0,1,0,0,1095 6th Ave
1012680001,38.0,47725.0,817095.0,1964.0,O4,C5-3,17.12,1,0,1,0,0,CBS Building
1010040029,39.0,80333.0,1613847.0,1961.0,O4,C5-3,20.09,1,0,1,0,0,1285 6th Ave
1013007501,21.0,65228.0,922671.0,1985.0,RC,C5-3,14.15,0,0,0,0,0,237 Park Ave
1012860035,33.0,30625.0,656436.0,1994.0,O4,C5-3,21.43,1,0,0,0,0,320 Park Ave
1013087502,39.0,81325.0,1526121.0,1969.0,RB,C5-2.5,18.77,0,0,1,0,0,Citibank HQ
1012900037,21.0,11715.0,236665.0,1958.0,O4,C5-3,20.2,1,0,1,0,0,410 Park Ave
1012920037,32.0,13375.0,296915.0,1972.0,O4,C5-3,22.2,1,0,1,0,0,450 Park Ave
1000047501,50.0,111382.0,1888126.0,1969.0,RC,C5-5,16.95,0,0,1,0,0,1 NY Plaza
1001257501,22.0,53354.0,827631.0,1959.0,RC,C5-3,15.51,0,0,1,0,0,100 Church St
1000860001,15.0,75460.0,1154357.0,1935.0,O7,C5-3,15.3,1,1,0,0,0,90 Church St
1001440040,23.0,52439.0,802000.0,1930.0,O4,C6-2A,15.29,1,1,0,0,0,60 Hudson - Western Union
1001920001,26.0,46040.0,1092665.0,1914.0,O4,C6-2A,23.73,1,1,0,0,0,32 6th Ave
1008207505,7.0,88940.0,684465.0,1900.0,RB,C6-4A,7.7,0,0,0,0,0,620 6th Ave
1000627501,54.0,95348.0,1690747.0,1973.0,RB,C5-5,17.73,0,0,1,0,0,1 Liberty Plaza
1000480001,50.0,52636.0,1141276.0,1968.0,O4,C5-5,21.68,1,0,1,0,0,140 Broadway - Marine Midland
